site_name,population_id,admit_year,age_band,sex_group,race_group,ethnicity_group,hospitalizations,deaths,mortality_pct
UCMC,all_icu_adult,2019,40-64,Male,White,Hispanic or Latino,30,<10,
UCMC,all_icu_adult,2019,40-64,Male,White,Not Hispanic or Latino,421,37,
UCMC,all_icu_adult,2019,40-64,Male,White,Unknown,<10,<10,
UCMC,all_icu_adult,2019,65-74,Female,Asian,Not Hispanic or Latino,15,<10,
UCMC,all_icu_adult,2019,65-74,Female,Black,Hispanic or Latino,<10,<10,
UCMC,all_icu_adult,2019,65-74,Female,Black,Not Hispanic or Latino,358,48,
UCMC,all_icu_adult,2019,65-74,Female,Black,Unknown,<10,<10,
UCMC,all_icu_adult,2019,65-74,Female,Other/Unknown,Hispanic or Latino,10,<10,
UCMC,all_icu_adult,2019,65-74,Female,Other/Unknown,Not Hispanic or Latino,<10,<10,
UCMC,all_icu_adult,2019,65-74,Female,Other/Unknown,Unknown,<10,<10,
UCMC,all_icu_adult,2019,65-74,Female,White,Hispanic or Latino,<10,<10,
UCMC,all_icu_adult,2019,65-74,Female,White,Not Hispanic or Latino,160,18,
UCMC,all_icu_adult,2019,65-74,Female,White,Unknown,<10,<10,
UCMC,all_icu_adult,2019,65-74,Male,AIAN,Hispanic or Latino,<10,<10,
UCMC,all_icu_adult,2019,65-74,Male,Asian,Not Hispanic or Latino,19,<10,
UCMC,all_icu_adult,2019,65-74,Male,Black,Hispanic or Latino,<10,<10,
UCMC,all_icu_adult,2019,65-74,Male,Black,Not Hispanic or Latino,371,47,
UCMC,all_icu_adult,2019,65-74,Male,Black,Unknown,<10,<10,
UCMC,all_icu_adult,2019,65-74,Male,Other/Unknown,Hispanic or Latino,16,<10,
UCMC,all_icu_adult,2019,65-74,Male,Other/Unknown,Not Hispanic or Latino,<10,<10,
UCMC,all_icu_adult,2019,65-74,Male,Other/Unknown,Unknown,14,<10,
UCMC,all_icu_adult,2019,65-74,Male,White,Hispanic or Latino,10,<10,
UCMC,all_icu_adult,2019,65-74,Male,White,Not Hispanic or Latino,290,41,
UCMC,all_icu_adult,2019,65-74,Male,White,Unknown,<10,<10,
UCMC,all_icu_adult,2019,75+,Female,AIAN,Hispanic or Latino,<10,<10,
UCMC,all_icu_adult,2019,75+,Female,Asian,Not Hispanic or Latino,<10,<10,
UCMC,all_icu_adult,2019,75+,Female,Black,Hispanic or Latino,<10,<10,
UCMC,all_icu_adult,2019,75+,Female,Black,Not Hispanic or Latino,347,55,
UCMC,all_icu_adult,2019,75+,Female,Black,Unknown,<10,<10,
UCMC,all_icu_adult,2019,75+,Female,NHPI,Hispanic or Latino,<10,<10,
UCMC,all_icu_adult,2019,75+,Female,Other/Unknown,Hispanic or Latino,<10,<10,
UCMC,all_icu_adult,2019,75+,Female,Other/Unknown,Not Hispanic or Latino,<10,<10,
UCMC,all_icu_adult,2019,75+,Female,Other/Unknown,Unknown,13,<10,
UCMC,all_icu_adult,2019,75+,Female,White,Hispanic or Latino,<10,<10,
UCMC,all_icu_adult,2019,75+,Female,White,Not Hispanic or Latino,158,17,
UCMC,all_icu_adult,2019,75+,Male,AIAN,Hispanic or Latino,<10,<10,
UCMC,all_icu_adult,2019,75+,Male,Asian,Not Hispanic or Latino,11,<10,
UCMC,all_icu_adult,2019,75+,Male,Black,Hispanic or Latino,<10,<10,
UCMC,all_icu_adult,2019,75+,Male,Black,Not Hispanic or Latino,225,32,
UCMC,all_icu_adult,2019,75+,Male,Black,Unknown,<10,<10,
UCMC,all_icu_adult,2019,75+,Male,NHPI,Not Hispanic or Latino,<10,<10,
UCMC,all_icu_adult,2019,75+,Male,Other/Unknown,Hispanic or Latino,<10,<10,
UCMC,all_icu_adult,2019,75+,Male,Other/Unknown,Not Hispanic or Latino,13,<10,
UCMC,all_icu_adult,2019,75+,Male,Other/Unknown,Unknown,11,<10,
UCMC,all_icu_adult,2019,75+,Male,White,Hispanic or Latino,10,<10,
UCMC,all_icu_adult,2019,75+,Male,White,Not Hispanic or Latino,170,26,
UCMC,all_icu_adult,2019,75+,Male,White,Unknown,<10,<10,
UCMC,all_icu_adult,2020,18-39,Female,AIAN,Not Hispanic or Latino,<10,<10,
UCMC,all_icu_adult,2020,18-39,Female,Asian,Hispanic or Latino,<10,<10,
UCMC,all_icu_adult,2020,18-39,Female,Asian,Not Hispanic or Latino,<10,<10,
UCMC,all_icu_adult,2020,18-39,Female,Black,Hispanic or Latino,<10,<10,
UCMC,all_icu_adult,2020,18-39,Female,Black,Not Hispanic or Latino,286,22,
UCMC,all_icu_adult,2020,18-39,Female,Black,Unknown,<10,<10,
UCMC,all_icu_adult,2020,18-39,Female,NHPI,Not Hispanic or Latino,<10,<10,
UCMC,all_icu_adult,2020,18-39,Female,Other/Unknown,Hispanic or Latino,17,<10,
UCMC,all_icu_adult,2020,18-39,Female,Other/Unknown,Not Hispanic or Latino,<10,<10,
UCMC,all_icu_adult,2020,18-39,Female,Other/Unknown,Unknown,<10,<10,
UCMC,all_icu_adult,2020,18-39,Female,White,Hispanic or Latino,<10,<10,
UCMC,all_icu_adult,2020,18-39,Female,White,Not Hispanic or Latino,91,<10,
UCMC,all_icu_adult,2020,18-39,Female,White,Unknown,<10,<10,
UCMC,all_icu_adult,2020,18-39,Male,AIAN,Hispanic or Latino,<10,<10,
UCMC,all_icu_adult,2020,18-39,Male,AIAN,Not Hispanic or Latino,<10,<10,
UCMC,all_icu_adult,2020,18-39,Male,Asian,Hispanic or Latino,<10,<10,
UCMC,all_icu_adult,2020,18-39,Male,Asian,Not Hispanic or Latino,17,<10,
UCMC,all_icu_adult,2020,18-39,Male,Black,Hispanic or Latino,<10,<10,
