site_name,population_id,admit_year,age_band,sex_group,state_fips,hospitalizations,deaths,mortality_pct
UCMC,sepsis_ase_icu,2022,75+,Male,29,<10,<10,
UCMC,sepsis_ase_icu,2022,75+,Male,48,<10,<10,
UCMC,sepsis_ase_icu,2023,18-39,Female,17,84,15,
UCMC,sepsis_ase_icu,2023,18-39,Female,18,<10,<10,
UCMC,sepsis_ase_icu,2023,18-39,Female,19,<10,<10,
UCMC,sepsis_ase_icu,2023,18-39,Female,22,<10,<10,
UCMC,sepsis_ase_icu,2023,18-39,Female,51,<10,<10,
UCMC,sepsis_ase_icu,2023,18-39,Male,06,<10,<10,
UCMC,sepsis_ase_icu,2023,18-39,Male,17,142,30,
UCMC,sepsis_ase_icu,2023,18-39,Male,18,29,<10,
UCMC,sepsis_ase_icu,2023,18-39,Male,26,<10,<10,
UCMC,sepsis_ase_icu,2023,18-39,Male,47,<10,<10,
UCMC,sepsis_ase_icu,2023,40-64,Female,05,<10,<10,
UCMC,sepsis_ase_icu,2023,40-64,Female,17,252,83,
UCMC,sepsis_ase_icu,2023,40-64,Female,18,30,13,
UCMC,sepsis_ase_icu,2023,40-64,Female,26,<10,<10,
UCMC,sepsis_ase_icu,2023,40-64,Female,28,<10,<10,
UCMC,sepsis_ase_icu,2023,40-64,Female,29,<10,<10,
UCMC,sepsis_ase_icu,2023,40-64,Female,39,<10,<10,
UCMC,sepsis_ase_icu,2023,40-64,Female,42,<10,<10,
UCMC,sepsis_ase_icu,2023,40-64,Male,17,339,110,
UCMC,sepsis_ase_icu,2023,40-64,Male,18,39,<10,
UCMC,sepsis_ase_icu,2023,40-64,Male,26,<10,<10,
UCMC,sepsis_ase_icu,2023,40-64,Male,36,<10,<10,
UCMC,sepsis_ase_icu,2023,40-64,Male,39,<10,<10,
UCMC,sepsis_ase_icu,2023,40-64,Male,41,<10,<10,
UCMC,sepsis_ase_icu,2023,40-64,Male,48,<10,<10,
UCMC,sepsis_ase_icu,2023,40-64,Male,55,<10,<10,
UCMC,sepsis_ase_icu,2023,65-74,Female,17,168,67,
UCMC,sepsis_ase_icu,2023,65-74,Female,18,19,<10,
UCMC,sepsis_ase_icu,2023,65-74,Female,26,<10,<10,
UCMC,sepsis_ase_icu,2023,65-74,Female,47,<10,<10,
UCMC,sepsis_ase_icu,2023,65-74,Female,55,<10,<10,
UCMC,sepsis_ase_icu,2023,65-74,Male,08,<10,<10,
UCMC,sepsis_ase_icu,2023,65-74,Male,12,<10,<10,
UCMC,sepsis_ase_icu,2023,65-74,Male,17,197,70,
UCMC,sepsis_ase_icu,2023,65-74,Male,18,30,10,
UCMC,sepsis_ase_icu,2023,65-74,Male,26,<10,<10,
UCMC,sepsis_ase_icu,2023,65-74,Male,32,<10,<10,
UCMC,sepsis_ase_icu,2023,65-74,Male,48,<10,<10,
UCMC,sepsis_ase_icu,2023,65-74,Male,55,<10,<10,
UCMC,sepsis_ase_icu,2023,75+,Female,04,<10,<10,
UCMC,sepsis_ase_icu,2023,75+,Female,13,<10,<10,
UCMC,sepsis_ase_icu,2023,75+,Female,17,154,72,
UCMC,sepsis_ase_icu,2023,75+,Female,18,11,<10,
UCMC,sepsis_ase_icu,2023,75+,Female,39,<10,<10,
UCMC,sepsis_ase_icu,2023,75+,Male,17,121,48,
UCMC,sepsis_ase_icu,2023,75+,Male,18,<10,<10,
UCMC,sepsis_ase_icu,2024,18-39,Female,17,67,10,
UCMC,sepsis_ase_icu,2024,18-39,Female,18,<10,<10,
UCMC,sepsis_ase_icu,2024,18-39,Female,27,<10,<10,
UCMC,sepsis_ase_icu,2024,18-39,Female,40,<10,<10,
UCMC,sepsis_ase_icu,2024,18-39,Female,45,<10,<10,
UCMC,sepsis_ase_icu,2024,18-39,Female,55,<10,<10,
